# 256-entry LUT: input_gray → measured ink %
# Extracted from test_05_gradient_h.prn (horizontal gradient capture)
# input	ink_pct
1	73.8990
2	92.5228
3	88.9800
4	86.7084
5	84.3538
6	82.1041
7	79.7338
8	76.7765
9	73.5644
10	71.5667
11	70.7543
12	67.9303
13	66.0721
14	64.5550
15	63.9265
16	63.0635
17	61.2408
18	58.8515
19	57.8870
20	57.7217
21	56.3199
22	54.2651
23	53.4771
24	53.3321
25	52.7004
26	51.5334
27	50.6115
28	48.7394
29	48.4808
30	46.8029
31	46.0787
32	45.3774
33	45.3256
34	44.5232
35	43.7853
36	42.3242
37	41.9878
38	41.4392
39	40.6871
40	39.5862
41	38.9651
42	38.7368
43	37.9643
44	37.4926
45	36.7936
46	36.2963
47	35.6591
48	34.6445
49	33.9521
50	33.8039
51	33.5445
52	32.9741
53	32.4080
54	31.9188
55	31.6421
56	31.2497
57	30.8568
58	30.3130
59	30.0093
60	29.7295
61	29.3127
62	28.9351
63	28.5234
64	28.1619
65	27.7707
66	27.4755
67	27.3767
68	27.0172
69	26.5928
70	26.3091
71	26.2318
72	25.8390
73	25.4956
74	25.0530
75	24.9522
76	24.8241
77	24.3192
78	24.3453
79	23.9547
80	23.9585
81	23.5670
82	23.5680
83	23.1969
84	22.7936
85	22.7822
86	22.3959
87	22.3954
88	22.0410
89	21.9935
90	21.6542
91	21.5911
92	21.2871
93	21.1824
94	21.1989
95	20.8973
96	20.8244
97	20.5340
98	20.4258
99	20.1579
100	20.0335
101	19.7987
102	19.6289
103	19.6422
104	19.4234
105	19.2485
106	19.0615
107	18.9445
108	18.6639
109	18.4556
110	18.4813
111	18.4172
112	18.3083
113	17.9210
114	17.6855
115	17.6682
116	17.6613
117	17.5533
118	17.1959
119	16.8457
120	16.8890
121	16.8634
122	16.7727
123	16.4443
124	16.1259
125	16.1307
126	16.0809
127	15.7122
128	15.7164
129	15.6965
130	15.7245
131	15.3154
132	15.3415
133	14.9259
134	14.9315
135	14.9197
136	14.5690
137	14.2079
138	14.1759
139	14.1492
140	14.1274
141	13.8240
142	13.7535
143	13.7402
144	13.4502
145	13.3558
146	13.2054
147	13.0774
148	12.9546
149	12.9527
150	12.7112
151	12.5703
152	12.5679
153	12.3318
154	11.9667
155	11.7759
156	11.7962
157	11.7887
158	11.5774
159	11.3787
160	11.3709
161	11.1874
162	10.9639
163	10.8241
164	10.5987
165	10.5958
166	10.4605
167	10.2024
168	10.2190
169	10.0989
170	9.8081
171	9.7207
172	9.4151
173	9.4147
174	9.3663
175	9.0175
176	8.9805
177	8.6317
178	8.6251
179	8.5766
180	8.2454
181	8.2445
182	8.2314
183	7.8466
184	7.8500
185	7.4655
186	7.4607
187	7.4577
188	7.0778
189	7.0651
190	7.0546
191	7.0733
192	6.7132
193	6.6720
194	6.4185
195	6.3595
196	6.2903
197	5.9943
198	5.8865
199	5.8647
200	5.9065
201	5.6161
202	5.4998
203	5.4917
204	5.2453
205	5.0860
206	5.0970
207	5.1003
208	5.0933
209	4.8879
210	4.7192
211	4.5118
212	4.4307
213	4.3149
214	4.3097
215	4.1782
216	3.9153
217	3.9286
218	3.9215
219	3.7872
220	3.5272
221	3.5367
222	3.5234
223	3.4294
224	3.1371
225	3.1352
226	3.1395
227	3.0794
228	2.7373
229	2.7438
230	2.7537
231	2.7211
232	2.3497
233	2.3496
234	2.3529
235	2.3609
236	1.9562
237	1.9672
238	1.7754
239	1.5917
240	1.5723
241	1.5483
242	1.2461
243	1.1877
244	1.1749
245	0.8565
246	0.7744
247	0.8205
248	0.8546
249	0.2852
250	0.0000
251	0.0000
252	0.0000
253	0.0000
254	0.0000
255	0.0000
